DAM_NAME,NAT_ID,CNTY_NAME,EAP,Last EAP Update
Buhl Dam,MI00001,Alcona,Not Required,
Senske Dam,MI00002,Arenac,Not Required,
Cannonsville Dam,MI00003,Montcalm,Not Required,
Little Wolf Creek Dam,MI00004,Alcona,Not Required,
State Street Dam,MI00005,Gratiot,Yes,28-Feb-14
Swan Creek Dam,MI00006,Allegan,Not Required,
Williams Mill Dam,MI00007,Allegan,Not Required,
Flook Dam,MI00008,Washtenaw,Yes,31-Dec-08
Algonquin Lake Dam,MI00009,Barry,Yes,31-Aug-15
Cedar Creek Dam,MI00010,Barry,Not Required,
Kent Lake Dam,MI00011,Livingston,Yes,23-Jul-14
Nashville Dam,MI00012,Barry,Not Required,
Orangeville Dam,MI00013,Barry,Yes,31-Aug-15
Dolbee Dam,MI00014,Arenac,Not Required,
Charlyle Dam,MI00015,Arenac,Not Required,
Upper Silver Lake Dam,MI00016,Oceana,Yes,01-Aug-09
Lower Lake Miramichi Dam,MI00017,Osceola,Not Required,
Dayton Lake Dam,MI00018,Berrien,Yes,25-Aug-17
Dingman Marsh Flooding Dam,MI00019,Cheboygan,Not Required,
Blackhawk Dam,MI00020,Branch,Not Required,
Morrison West Chain Lake Level Control Structure,MI00021,Branch,Not Required,
Grand Rapids Dam,MI00022,Menominee,Yes,14-Dec-17
Randall Dam,MI00023,Branch,Yes,15-Mar-01
Woodin Lake Dam,MI00024,Otsego,Not Required,
Rice Creek Dam,MI00025,Calhoun,Not Required,
Grasshopper Gulch Walleye Pond Dam,MI00026,Delta,Not Required,
Marshall City Dam,MI00027,Calhoun,Yes,29-Nov-17
Bergland Dam,MI00028,Ontonagon,Not Required,
Centenial Mill Dam,MI00030,Cass,Not Required,
LaGrange Lake Dam,MI00031,Cass,Yes,01-Dec-04
Lower Mill Dam,MI00032,Cass,Yes,21-Dec-16
O'Neal Lake Dam,MI00033,Emmet,Not Required,
Streater Mill Dam,MI00034,Cass,Not Required,
Upper Mill Dam,MI00035,Cass,Yes,26-Oct-15
Quigley Dam,MI00036,Otsego,Not Required,
Starks Mill Dam,MI00037,Emmet,Not Required,
McDonald Lake Dam,MI00038,Schoolcraft,Not Required,
Beebe Lake Dam,MI00039,Clare,Not Required,
Little Black River Structure A,MI00040,Cheboygan,Yes,01-Mar-96
Farwell Mill Pond Dam,MI00041,Clare,Not Required,
Little Black River Structure B,MI00042,Cheboygan,Yes,01-Mar-96
McKays Dam,MI00043,Clare,Not Required,
Lake 13 Dam,MI00044,Clare,No,07-Dec-17
No. Two Dam on South Creek,MI00045,Clare,Not Required,
Elsie Dam,MI00046,Clinton,Not Required,
Little Black River Structure C,MI00047,Cheboygan,Yes,01-Mar-96
Taylor Dam,MI00048,Arenac,Not Required,
Bellevue Mill Dam,MI00049,Eaton,Not Required,
Fontinalis Club Middle Dam,MI00050,Otsego,Not Required,
Mix Dam,MI00051,Eaton,Not Required,06-Feb-08
Cisco Lake Dam,MI00052,Gogebic,Not Required,
Wilson Dam,MI00053,Eaton,Not Required,
Fontinalis Club Home Dam,MI00054,Otsego,Not Required,
Sand Lake Level Control Dam,MI00055,Clare,Not Required,
Avery Lake Dam,MI00056,Montmorency,Not Required,
Atlas Dam,MI00057,Genesee,Yes,08-Dec-10
Fenton Water Dam,MI00058,Genesee,Yes,01-Jan-94
Goodrich Dam,MI00059,Genesee,Yes,20-Dec-16
Hamilton Dam,MI00060,Genesee,Yes,22-Dec-11
Kearsley Dam,MI00061,Genesee,Yes,06-Nov-01
Linden Mill Dam,MI00062,Genesee,Yes,21-Dec-16
Thread Lake Dam,MI00063,Genesee,Yes,06-Nov-01
Holloway Dam,MI00064,Genesee,Yes,31-May-15
Morey Dam,MI00065,Gladwin,Not Required,
Little Black River Structure D,MI00066,Cheboygan,Yes,01-Mar-96
Misteguay Creek 4,MI00067,Saginaw,Yes,21-Oct-14
Molasses River Flooding #2 Dam,MI00068,Gladwin,Not Required,
Misteguay Creek 3A,MI00069,Saginaw,Not Required,14-May-04
Bessemer Township Park Dam,MI00070,Gogebic,Not Required,
Black River Dam,MI00071,Gogebic,Not Required,
McDonald Lake Dam,MI00072,Gogebic,Not Required,
Oliver Dam,MI00073,Gogebic,Not Required,
Gamble Dam,MI00074,Clare,Not Required,
Bissell Pond Dam,MI00075,Grand Traverse,Yes,01-Mar-15
Crooked Lake Level Control Structure,MI00076,Montmorency,Not Required,
Boston Pond Dam,MI00077,Houghton,Not Required,
Lower Dam,MI00078,Houghton,Not Required,
Lake Le-Ann South Dam,MI00079,Hillsdale,Yes-NR,25-Aug-10
Lake Le-Ann North Dam,MI00080,Hillsdale,Yes,25-Aug-10
Warren's Walleye Pond Dam,MI00081,Dickinson,Not Required,
Gene's Pond Dam,MI00082,Dickinson,Not Required,
Big Mosherville Dam,MI00083,Hillsdale,Not Required,
Ribeck Mead and Turner Dam,MI00084,Hillsdale,Not Required,
Pittsford Mill Dam,MI00085,Hillsdale,Not Required,
Lake Somerset Dam,MI00086,Hillsdale,Yes,21-Mar-18
Lake Thirty-Six Dam,MI00087,Dickinson,Not Required,
Hancock Creek Dam,MI00088,Dickinson,Not Required,
Hillsdale Millpond Dam,MI00089,Hillsdale,Yes,20-Dec-16
Bear Trap Dam,MI00090,Iron,Not Required,
Redridge Dam,MI00091,Houghton,Yes,24-Jan-02
Bowen Mill Dam,MI00092,Barry,Not Required,
Little Rice Lake Dam,MI00093,Houghton,Not Required,
Moores Park Dam,MI00094,Ingham,Yes,01-Dec-14
Williamston Dam,MI00095,Ingham,Not Required,
Hubbardston Dam,MI00096,Ionia,Not Required,
Humany Dam,MI00097,Ionia,Not Required,
Cannon Creek Dam,MI00098,Ionia,Not Required,
Portland Municipal Dam,MI00099,Ionia,Not Required,
Smyrna Milling Company Dam,MI00100,Ionia,Not Required,
Empire Mine Tertiary Pond Dam,MI00101,Marquette,Not Required,
Sterner Dam,MI00102,Ionia,Not Required,
Big Quinnesec Falls Dam,MI00103,Dickinson,Yes,
Misteguay Creek 2A,MI00104,Shiawassee,Not Required,14-May-04
Mill Creek Structure,MI00105,Lapeer,Yes,15-Dec-15
Norwich Impoundment Dam,MI00106,Ontonagon,Not Required,
Sixmile Creek Pond Dam,MI00107,Baraga,Not Required,
Roger Earl Dam,MI00108,Iosco,Not Required,
Barnes Dam,MI00109,Iosco,Not Required,
Grand Ledge Dam,MI00110,Eaton,Not Required,
Webber Ranch Dam,MI00111,Iosco,Not Required,
Rodman Dam,MI00112,Iosco,Yes,10-Feb-09
Gribben Tailings Basin Dam,MI00113,Marquette,Yes,08-Jan-15
Greenwood Afterbay Dam,MI00114,Marquette,Yes,08-Jan-15
Doc and Tom Lake Level Control Structure,MI00115,Clare,Not Required,
Surrey Lake Dam,MI00116,Clare,Yes,07-Dec-17
