dam_name,other_dam_name,dam_former_name,state_or_fed_agency_id,nid_id,other_structure_id,longitude,latitude,section_township_range,county,stream_or_river,nearest_downstream_city,distance_to_nearest_city,owner_name,owner_type,dam_designer,non_fed_dam_on_fed_property,dam_type_nid,core,foundation,purposes,year_completed,year_modified,dam_length,dam_height,structural_height,hydraulic_height,nid_height,max_discharge,max_storage,normal_storage,nid_storage,surface_area,drainage_area,hazard,eap,eap_revision_date,inspection_date,inspection_frequency,condition_assessment,condition_assessment_detail,condition_assessment_date,spillway_type,spillway_width,outlet_gates,volume_of_dam,number_of_locks,lock_length,lock_width,permitting_authority,inspection_authority,enforcement_authority,state_jurisdictional_dam,state_regulated_dam,state_regulatory_agency,fed_agency_involvement_funding,fed_agency_involvement_design,fed_agency_involvement_construction,fed_agency_involvement_regulatory,fed_agency_involvement_inspection,fed_agency_involvement_operation,fed_agency_owner,fed_agency_involvement_other,source_agency,state,dam_number,status_code,island,classified_by,watershed_authority,tmk,tmk2,dam_type,spillway_size,spillway_protection,spillway_length,spillway_wall_height,outlet_type,spillway_control,ferc_status,ogee_present,outlet_access,outlet_max_discharge,outlet_control_location,outlet_size,staff_gage_level,upstream_slope_grade,upstream_protection,downstream_slope_grade,downstream_protection,water_body_type,hazard_analysis_date,certificate_to_impound_date,district_code,cong_rep_district,cong_rep,cong_rep_party,ferc_info,top_of_crest,spillway_crest,operating_level,dam_former_name_alt,classification_received_date,classification_date,section,classification_purpose,classification_comments,last_owner_om_inspection,last_outlet_inspection,phase_I_inspection,inspection_history,last_eap_audit,audit_comments,inundation_mapping,inundation_mapping_comments,loss_of_life_year_completed,population_at_risk,loss_of_life,loss_of_life_method,submit_date,url,condition_assessment_detail_alt,data_owner,permitting_agency,nid_owners,legal_quarter_4,number_separate_structures_alt,other_structure_id_alt,legal_quarter_3,legal_quarter_2,record_id,longitude_degrees,size_nid,hazard_nid,dam_status_description,spillway_type_nid,outlet_type_nid,watershed_description,access_surface_description,access_method_description,spillway_protection_description,upstream_protection_description,downstream_protection_description,annual_cert_year,added_state,added_year_data_refers_to,crest_elevation,coe_district,drainage_area_acres,fpp,low_level_release_facility,structure,ose_dam_file_no,land_name,basin,dike_length,latitude_minutes,latitude_seconds,longitude_minutes,longitude_seconds,spillway_type_1_description,spillway_type_2_description,latitude_degrees,eap_last_exercised,municipalities,annual_cert_date,eng_assess_date_received,id,st_ht,c_length,ac_conc,tbidmast_hpc,sw_max_cfs,npa,ac_dt,town,max_volume,state_defined_dam,drinking_water,comments,classification,2015_new_nid_entry,region,property_owner,geology_of_foundation,benchmark_location,om_onfile,om_date,hhreport_onfile,hhreport_date,stabilityreport_onfile,stabilityreport_date,legal_quarter_1,township,range2,owner_address,owner_city,owner_state,owner_zip,owner_physical_address,owner_physical_city,owner_physical_state,owner_physical_zip,owner_phone,owner_email,engineering_contact,engineering_phone,engineering_firm,engineering_firm_address,engineering_firm_city,engineering_firm_state,engineering_firm_zip,engineering_firm_email,reservoir_code,approval_date,inundation_mapping_year,ag_exempt,top_of_dam,top_of_principal_spillway,top_of_emergency_spillway,eap_year,first_contact_name,comment_2,dam_modification,secondary_purpose,classification_date_change,hazard_date,quadrangle_name,constructed_by,type_modify_repair,modify_repair_year,normal_freeboard,bottom_drain_operable,normal_pool_elev,normal_pool_capacity,max_impoundment_capacity,minimum_release_cfs,emergency_spillway_type,inspectors,next_inspection_date,non_date,nod_deadline_date,nod_resolved,nov_resolved,dso_date,dso_deadline,dso_resolved,addr_line_2,bottom_drain,ws_id,eng_data_id,class,notes,dam_id,hazard_potential,purpose_1_code,purpose_2_code,purpose_3_code,purpose_4_code,purpose_5_code,purpose_6_code,purpose_7_code,purpose_8_code,last_mod_type_code,acres,fema_req_ind,emergency_plan,other_id,long,quarter,range1,section_township_range_alt,code,core_certainty,foundation_certainty,federal_agency_owner,core_type,core_position,foundation_code,dam_key_seq_no,dam_popular_name,nat_dam_code,state_agency,reg_agency_insp_type,sufficiency_code,sufficiency_date,fd_name,n,q,federal_regulations,first_dam_at_site_year,wdid,div,wd,pm,q160,q40,utm_x,utm_y,location_accuracy,spillway_capactiy,outlet_description,outlet_capacity,overall_conditions,safe_storage,current_restrictions,primary_contact,assigned_to,more_information,location,f,r_n,rd,attention,ext,class_description,cert_type,dam_name_alt,lat_decimal,long_decimal,county_alt,legals,cert_expiration,pmt_type,pmt_date,pmt_exp,top_hgt,top_capacity,top_area,top_elevation,normal_pool_area,normal_pool_height,reg_no,ph1_rpt,ins_rcd_o,ins_rcd_e,pe_insp_by,acmp_by,coordinate_validated,da_sm,spillway_id,sdf_r,sdf_a,memo,classification_size,s_130,last_visit,pmp_6,pmp_12,pmp_24,pmp_selected,reason_for_inclusion,pool_volume,streambed_elevation,emergency_volume,emergency_area,emergency_elevation,river_class,contrib_area,principal_inlet,principal_length,emergency_spillway_construction,normal_depth,valve_type,valve_location,low_head_dam,low_level_rest_ext,low_level_rest_ext_install,embankment_volume,top_width,es_level_length,es_slope_length,es_percent_slope,drawdown_elevation,drawdown_area,drawdown_volume,streambed_area,streambed_volume,conduit_type,conduit_size,x_coord,y_coord,eap_date,atlas_number,state_reg_dam_51,state_reg_dam_52,state_reg_dam_53,state_reg_dam_54,state_reg_dam_5,dam_code,spillcrest_storage,Condition_Assessment_Date,FormattedMonth,FormattedDay,FormattedYear,meridian,is_statuatory_dam,is_active_dam,PermitNoUpdate_PermitNo,PermitNoUpdate_Suffix,SUB-DIST,eap_exercise_date,action,ALLDAMS.DIV,DIST,SubDiv,PhotoLink,PhotoYes,utmx,utmy,inspection_group,eap_comments,wmd,WMD_Permit_Number,Permit_,Enforcement_Actions_,F59,Shape,created_date,ID_NO2,OFFNAME2,Regulated2,D NAME,O NAME,CO,HY HT,MX AF,RIV STR,YR COMP,tblDmast_HPC,NAT_ID2,DAM_TYPE2,OD_NAME2,FD_NAME2,NR_CTY_TWN2,MI_CTY_TWN2,O_TYPE2,DESIGNER2,PRV_FED_LD2,PURPOSES2,YR_MOD2,STR_HEIGHT2,MAX_DISCHR2,NORM_STORG2,EMER_AC_PL2,INSP_FREQ2,STA_REG_DM2,STA_REG_AG2,SPLWY_TYPE2,SPLWY_WDTH2,OUTLT_GATE2,DAM_VOLUME2
NUUANU DAM NO. 4,NUUANU RESERVOIR,,OA-0001,HI00001,,-157.807809,21.352633,,Honolulu,NUUANU STREAM,HONOLULU,1,Honolulu Board of Water Supply,L,,FALSE,RE,,,C,1910,,2120,66,73,69,66,4000,3600,242,3600,25,1.4,High,TRUE,2014-05-06T00:00:00,11/2/17,5,POOR,,8/1/08,U,55,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Oahu,FALSE,Nuuanu,2019-02-02T00:54:00,,Earthen,Intermediate,Concrete,450,5,Upstream Control in Tower,Uncontrolled,Channel,FALSE,Bridge,,Upstream,24 in,27.5,14,Ungrouted Riprap,45,Bare Soil,State Regulated Dam,6/1/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,I,H,Active,FALSE,,Nuuanu,Paved,Car,Concrete,Ungrouted Riprap,Bare Soil,Flood Control; Recreation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUU LUA RESERVOIR,,,KA-0002,HI00002,,-159.678449,22.088335,,Kauai,TR-HAELELE STREAM OFFSTREAM,Kekaha,8.3,"State of Hawaii - Dept of Agriculture - ADC; State of Hawaii, Dept of Land and Natural Resources; State of Hawaii, Dept of Land and Natural Resources-Land",S,,FALSE,RE,,,F,1925,,640,105,110,105,105,,888,844,888,12.6,0.08,High,TRUE,2011-09-30T00:00:00,10/12/17,5,CONDITIONALLY FAIR,,2/1/09,U,24,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Kauai,FALSE,Haeleele,2019-01-04T00:01:00,,Earthen,Large,Bare Soil,356,0,Mid-dam Control,Uncontrolled,Channel,FALSE,On Dam,,Crest,unknown,63,19.6,Bare Soil,24,Vegetation,State Regulated Dam,6/1/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,L,H,Active,FALSE,S,Haeleele,Unpaved,4x4 (wet conditions only),Bare Soil,Bare Soil,Vegetation,Fish & Wildlife Pond; Other,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUU OPAE RESERVOIR,,,KA-0003,HI00003,,-159.723612,22.03903,,Kauai,TR-NUI STREAM OFFSTREAM,Mana,2.8,"State of Hawaii, Dept of Hawaiian Home Lands",S,,FALSE,RE,,,I,1930,,1000,41,47,36,41,,295,193,295,11.5,,Low,TRUE,2010-06-01T00:00:00,11/21/17,5,POOR,,2/1/09,U,3.6,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Kauai,FALSE,Niu,2019-01-02T00:02:00,,Earthen,Small,,125,2.5,Downstream Control,Uncontrolled,Culvert,FALSE,Walk,,Downstream,16,0,27.5,Vegetation,30,Vegetation,State Regulated Dam,6/1/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,S,L,Active,,,Niu,Unpaved,4x4,,Vegetation,Vegetation,Irrigation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KITANO RESERVOIR,,,KA-0004,HI00004,,-159.673562,22.028432,,Kauai,KAPUE OFFSTREAM,KEKAHA,5,State of Hawaii - Dept of Agriculture - ADC,S,,FALSE,RE,,,I,1928,,720,38,43,40,38,,120,110,120,4.8,0.02,High,TRUE,2012-09-17T00:00:00,11/29/17,5,POOR,,2/1/09,U,7,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Kauai,FALSE,Waimea,2019-01-02T00:02:00,,Earthen,Small,,31,2,Upstream Control in Tower,Uncontrolled,Pipe,FALSE,Walk,,Upstream,16 in,0,21,Bare Soil,27,Bare Soil,State Regulated Dam,6/1/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,S,H,Active,FALSE,,Waimea,Unpaved,4x4 (wet conditions only),,Bare Soil,Bare Soil,Irrigation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANA RESERVOIR,,,KA-0005,HI00005,,-159.758903,22.031933,,Kauai,KAAWALOA STREAM OFFSTREAM,Mana,0.6,State of Hawaii - Dept of Agriculture - ADC,S,,FALSE,RE,,,I,1905,1980,1600,17,25,22,17,,135,135,135,8.5,0.08,High,TRUE,2006-09-01T00:00:00,11/29/17,5,POOR,,2/1/09,C,3.25,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Kauai,FALSE,Kaawaloa,2019-01-02T00:02:00,,Earthen,Small,Concrete,0,1,Downstream Control,Controlled,Channel,FALSE,Walk,,Downstream,16 in,0,,,33.3,Bare Soil,State Regulated Dam,6/1/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,S,H,Active,FALSE,,Kaawaloa,Gravel,Car,Concrete,,Bare Soil,Irrigation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAIKAIA RESERVOIR,,,KA-0006,HI00006,,-159.649262,21.965841,,Kauai,FED BY IRRIGATION DITCH,Kapalawai,1.2,Gay & Robinson Inc.; Robinson Family Partners,P,,FALSE,RE,,,I,1951,,720,26,30,26,26,,58,44,58,3.2,0.08,High,TRUE,2012-02-21T00:00:00,2/28/18,5,CONDITIONALLY FAIR,,3/1/09,C,10,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Kauai,FALSE,Waimea,2019-01-07T00:05:00,,Earthen,Small,Concrete,115,6,Downstream Control,Controlled,Channel,FALSE,Toe Access Road,,Two 12 Inch Concrete Pipes through the Embankment  Near the Maximum Section,12 Inch,15.5,28,Vegetation,26,Bare Soil,State Regulated Dam,6/1/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,S,H,Active,FALSE,,Waimea,Unpaved,4x4 (wet conditions only),Concrete,Vegetation,Bare Soil,Irrigation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEPANI RESERVOIR,,,KA-0007,HI00007,,-159.617526,22.002352,,Kauai,MAKAWELI RIVER OFFSTREAM,WAIMEA,4,Gay & Robinson Inc.; Robinson Family Partners,P,Towill - (Robinson 2010),FALSE,RE,,,I,1954,,860,32,40,34,32,,85,72,85,3.2,0.05,High,TRUE,2012-02-21T00:00:00,2/28/18,5,POOR,,3/1/09,U,62,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Kauai,FALSE,Waimea,2019-01-07T00:01:00,,Earthen,Small,Bare Soil,26,3,Upstream Control in Tower,Uncontrolled,Channel,FALSE,Bridge,,Upstream,30in x 36in (w x h),23,30,Dumped Rock,30,Bare Soil,State Regulated Dam,6/1/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,S,H,Active,FALSE,,Waimea,Unpaved,4x4 (wet conditions only),Bare Soil,Dumped Rock,Bare Soil,Irrigation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAIKOLOI RESERVOIR,,,KA-0008,HI00008,,-159.599525,21.970039,,Kauai,WAIKOLOI STREAM,Kaawanui Village,2.6,Gay & Robinson Inc.; Robinson Family Partners,P,Towill (Robinson 2010),FALSE,RE,,,I,1958,,505,64,50,44,64,,147,130,147,5.2,0.089,High,TRUE,2012-02-21T00:00:00,2/28/18,5,CONDITIONALLY FAIR,,3/1/09,U,2.5,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Kauai,FALSE,Mahinauli,2019-01-07T00:06:00,,Earthen,Intermediate,Concrete,2.5,0,Upstream Control,Uncontrolled,Culvert,FALSE,On Dam,,Crest,,17,23,Vegetation,27,Vegetation,State Regulated Dam,6/1/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,I,H,Active,,U,Mahinauli,Unpaved,4x4,Concrete,Vegetation,Vegetation,Irrigation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAAWANUI RESERVOIR,,,KA-0009,HI00009,,-159.625244,21.948871,,Kauai,KAAWANUI GULCH OFFSTREAM,Kaawanui Village,0.4,Gay & Robinson Inc.; Robinson Family Partners,P,,FALSE,RE,,,I,1950,,2560,26,25,20,26,200,110,83,110,9.2,0.014,High,TRUE,2012-02-21T00:00:00,2/28/18,5,CONDITIONALLY FAIR,,3/1/09,C,4,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Kauai,FALSE,Mahinauli,2019-01-07T00:06:00,,Earthen,Small,Concrete,90,3,Downstream Control,Controlled,Culvert,FALSE,walk,,Downstream,Two 12 Inch CIPs,,35,Dumped Rock,30,Vegetation,State Regulated Dam,6/1/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,S,H,Active,,,Mahinauli,Unpaved,4x4,Concrete,Dumped Rock,Vegetation,Irrigation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAIAKALUA RESERVOIR,,,KA-0010,HI00010,,-159.373854,22.199814,,Kauai,WAIAKALUA STREAM,Kilauea,2,"Greg & Dorte Morse (4) 5-1-5:029-003; He Makana Ka Wai (4) 5-1-5:027; Makanalani View Property LLC (4) 5-1-005:029-0004; Malie Wai Properties/Farms (4) 5-1-005:025-0001,0004,0005; Thomas Atkin (4) 5-1-005:029-0001; V. Stephen Hunt (4) 5-1-005:029-0005; Victor Mission Trust LLC (4) 5-1-005:025-0002, 0003; William L. Flaherty, Trust (4) 5-1-005:029-0002",P,,FALSE,RE,,,I,1920,,1800,26,20,18,26,,220,184,220,13.3,0.43,High,TRUE,2016-10-12T00:00:00,3/7/18,5,POOR,,4/1/09,U,0,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Kauai,FALSE,Pilaa,2019-05-01T00:05:00,2019-05-01T00:05:00,Earthen,Small,,77,0,Upstream Control,Uncontrolled,Channel,FALSE,On Dam,,Slide Gate,3.75 x 3 ft,0,25,Bare Soil,34,Vegetation,State Regulated Dam,6/1/09,,,,,,http://hawaiipacioosapplication-1672159924.us-east-1.elb.amazonaws.com/Login.aspx,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,S,H,Active,FALSE,U,Pilaa,Paved,Car,,Bare Soil,Vegetation,Irrigation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
